"","X","x","tweet"
"44",44,"neutral","@VirginAmerica I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp"
"45",45,"neutral","@VirginAmerica are flights leaving Dallas for Seattle on time Feb 24?"
"46",46,"positive","@VirginAmerica I'm #elevategold for a good reason: you rock!!"
"47",47,"neutral","@VirginAmerica  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx"
"48",48,"positive","@VirginAmerica wow this just blew my mind"
"49",49,"neutral","@VirginAmerica @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree"
"50",50,"neutral","@VirginAmerica @ladygaga @carrieunderwood All were entertaining"
"51",51,"neutral","@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks."
"52",52,"positive","@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood"
"53",53,"neutral","@VirginAmerica wish you flew out of Atlanta... Soon?"
"54",54,"neutral","@VirginAmerica @ladygaga @carrieunderwood Julie Andrews. Hands down."
"55",55,"neutral","@VirginAmerica Will flights be leaving Dallas for LA on February 24th?"
"56",56,"negative","@VirginAmerica hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!"
"57",57,"positive","@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures"
"58",58,"positive","@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! 😊"
"59",59,"neutral","@VirginAmerica @ladygaga @carrieunderwood - Carrie!"
"60",60,"neutral","@VirginAmerica New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?"
"61",61,"neutral","@VirginAmerica @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh."
"62",62,"negative","@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!"
"63",63,"neutral","@VirginAmerica @ladygaga @carrieunderwood all are great , but I have to go with #CarrieUnderwood 😍👌"
"64",64,"neutral","@VirginAmerica @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first!"
"65",65,"positive","@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!"
"66",66,"neutral","@VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please."
"67",67,"negative","@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/"
"68",68,"negative","@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?"
"69",69,"positive","@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV"
"70",70,"negative","@VirginAmerica everything was fine until you lost my bag"
"71",71,"neutral","@virginamerica Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?"
"72",72,"neutral","@VirginAmerica I emailed your customer service team. Let me know if you need the tracking number."
"73",73,"neutral","@VirginAmerica hi I just booked a flight but need to add baggage, how can I do this?"
"74",74,"negative","@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt"
"75",75,"positive","@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this."
"76",76,"positive","@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?"
"77",77,"neutral","@VirginAmerica Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF"
"78",78,"neutral","@VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks"
"79",79,"negative","@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you."
"80",80,"neutral","@VirginAmerica what happened to Doom?!"
"81",81,"negative","@VirginAmerica why can't you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue #neverflyvirginforbusiness"
"82",82,"positive","@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G"
"83",83,"negative","@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :("
"84",84,"negative","@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness"
"85",85,"negative","@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin"
"86",86,"negative","@VirginAmerica I’m having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R"
"87",87,"neutral","@VirginAmerica Can't bring up my reservation online using Flight Booking Problems code"
"88",88,"neutral","@VirginAmerica Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4"
"89",89,"neutral","@VirginAmerica I &lt;3 Flying VA But Life happens and I am trying to #change my trip JPERHI  Can you help.VA home page will not let me ?"
"90",90,"negative","@VirginAmerica Why is the site down?  When will it be back up?"
"91",91,"neutral","@VirginAmerica ""You down with RNP?"" ""Yeah you know me!"""
"92",92,"neutral","@VirginAmerica hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?"
"93",93,"negative","@VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday ."
"94",94,"negative","@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin"
"95",95,"neutral","@VirginAmerica why is flight 345 redirected?"
"96",96,"negative","@VirginAmerica Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign."
"97",97,"negative","@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y"
"98",98,"negative","@VirginAmerica - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable"
"99",99,"negative","@virginamerica What is your phone number. I can't find who to call about a flight reservation."
"100",100,"negative","@VirginAmerica is anyone doing anything there today?  Website is useless and no one is answering the phone."
"101",101,"neutral","@VirginAmerica trying to add my boy Prince to my ressie. SF this Thursday @VirginAmerica from LAX http://t.co/GsB2J3c4gM"
"102",102,"negative","@VirginAmerica why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business. #sfo2lax"
"103",103,"neutral","@VirginAmerica check out new music http://t.co/maRcnOCWzn"
"104",104,"negative","@virginamerica how's a direct flight FLL-&gt;SFO have unexpected layover in Vegas 4 fuel yet peeps next to me bought for Vegas flight. #sneaky"
"105",105,"negative","@VirginAmerica your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp."
"106",106,"positive","@VirginAmerica - amazing customer  service, again! 💕💕 RaeAnn in SF - she's the best! #customerservice #virginamerica #flying"
"107",107,"negative","@VirginAmerica called your service line and was hung up on. This is awesome. #sarcasm"
"108",108,"negative","@VirginAmerica your site is tripping. I'm trying to check in and I'm getting the plain text version. I am reluctant to enter any card info."
"109",109,"neutral","@VirginAmerica I was scheduled for SFO 2 DAL flight 714 today. Changed to 24th due weather. Looks like flight still on?"
"110",110,"positive","@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare"
"111",111,"neutral","@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/RPdBpX3wNd #CheapFlights #FareCompare"
"112",112,"positive","@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/B2Xi4YG5T8 #CheapFlights #FareCompare"
"113",113,"neutral","@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/QDlJHslOI5 #CheapFlights #FareCompare"
"114",114,"positive","@VirginAmerica Have a great week 🌞✈"
"115",115,"positive","@VirginAmerica come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback http://t.co/gLXFwP6nQH"
"116",116,"negative","@VirginAmerica should I be concerned that I am about to fly on a plane that needs to be delayed due to a ""tech stop""?"
"117",117,"positive","@VirginAmerica is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience"
"118",118,"positive","@VirginAmerica and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!"
"119",119,"positive","@VirginAmerica your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure."
"120",120,"positive","@VirginAmerica Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining"
"121",121,"negative","@VirginAmerica Use another browser! 2015 &amp; a brand with a reputation built on tech response doesn't have a cross-browser compatible website?"
"122",122,"negative","@VirginAmerica And now the flight Flight Booking Problems site is totally down. Folks, what is the problem?"
"123",123,"negative","@VirginAmerica I like the customer service but a 40 min delay just for connecting passengers seems too long. VA370"
"124",124,"positive","@VirginAmerica thanks to your outstanding NYC-JFK crew who moved mountains to get me home to San Francisco tonight!"
"125",125,"positive","@VirginAmerica you have the absolute best team and customer service ever.  Every time I fly with you I'm delighted.  Thank you!"
"126",126,"neutral","@VirginAmerica Do you provide complimentary upgrades to first class, if there are available seats?"
"127",127,"negative","@VirginAmerica i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. Im calling intern. Help!!"
"128",128,"positive","@VirginAmerica completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue"
"129",129,"neutral","@VirginAmerica How can I watch the #Oscars2015 on my JFK-&gt;SFO flight?"
"130",130,"neutral","@VirginAmerica is flight 882 Cancelled Flightled and what do I do if it is?"
"131",131,"negative","@VirginAmerica you are failing your customers because your check in process does not link to TSA pre-check."
"132",132,"negative","@VirginAmerica @FiDiFamilies us too! Terrible airline! Just gave us a hotel hotline number and said sorry"
"133",133,"neutral","@VirginAmerica has flight number 276 from SFO to Cabo San Lucas arrived yet?"
"134",134,"negative","@VirginAmerica @ChrysiChrysic your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline  Shame on you!"
"135",135,"negative","@VirginAmerica Another delayed flight? #likingyoulessandless"
"136",136,"negative","@VirginAmerica I need to register a service dog for a first class ticket from SFO &gt; Dulles. The phone queue is an hour or longer. Pls advise"
"137",137,"positive","@virginamerica you ROCK for making it so I can watch #Oscars on my flight!! #redcarpet #oscars #oscars2015"
"138",138,"neutral","@VirginAmerica, @reallytallchris dropped a track on you... https://t.co/zv2pt6TRK9"
"139",139,"positive","@VirginAmerica always!!! Xoxo"
"140",140,"negative","@VirginAmerica why can't we book seats on your flights when we buy them or even during check in? Creates so much anxiety! #frustrated"
"141",141,"negative","@VirginAmerica You'd think paying an extra $100 bucks RT for luggage might afford you hiring an extra hand at @sfo #lame"
"142",142,"positive","@VirginAmerica best customer service rep in the world! #irmafromDallas takes the cake!!!"
"143",143,"neutral","@VirginAmerica Can you find us a flt out of LAX that is sooner than midnight on Monday? That would be great customer service 😃"
"144",144,"negative","@VirginAmerica please provide status for flight 769.  I cant imagine it's on time as the Web indicates  dude to weather here and/or Dallas"
"145",145,"positive","@VirginAmerica you have amazing staff &amp; super helpful as I just ran the @WaltDisneyWorld #PrincessHalf they have spoiled me with comfort!!!"
"146",146,"negative","@VirginAmerica I paid the premium to fly you across the country, you Cancelled Flight my flight and offer no check fee or upgrade love? Sad face :("
"147",147,"negative","@VirginAmerica question: is it not possible to book a seat for an infant under 2? It's not giving me the option but we want a seat for him."
"148",148,"positive","Always have it together!!! You're welcome! RT @VirginAmerica: @jessicajaymes You're so welcome."
"149",149,"positive","@virginamerica #flight home to #dc #sunset #globe in' #backtowinter back to #work! #refreshed http://t.co/VX9vBCTdLf"
"150",150,"negative",".@VirginAmerica I don't understand why you need a DM to give me an answer on if you have a damaged luggage policy."
"151",151,"negative",".@VirginAmerica does that mean you don't have a policy for destroyed luggage?"
"152",152,"neutral","@VirginAmerica is there special assistance if I travel alone w/2 kids and 1 infant? Priority boarding?"
"153",153,"positive","@VirginAmerica thank you for checking in. tickets are purchased and customer is happy ;-)"
"154",154,"neutral","@VirginAmerica is your website ever coming back online?"
"155",155,"neutral","@VirginAmerica  - Is Flight 713 from Love Field to SFO definitely Cancelled Flightled for Monday, February 23?"
"156",156,"neutral","@VirginAmerica Is flight 0769 out of LGA to DFW on time?"
"157",157,"neutral","@VirginAmerica my drivers license is expired by a little over a month. Can I fly Friday morning using my expired license?"
"158",158,"negative","@VirginAmerica having problems Flight Booking Problems on the web site. keeps giving me an error and to contact by phone.  phone is 30 minute wait."
"159",159,"negative","@VirginAmerica How do I reschedule my Cancelled Flightled flights online? The change button is greyed out!"
"160",160,"negative","@VirginAmerica I rang, but there is a wait for 35 minutes!! I can book the same ticket through a vendor, fix your site"
"161",161,"negative","@VirginAmerica got a flight (we were told) for 4:50 today..,checked my email and its for 4;50 TOMORROW. This is unacceptable."
"162",162,"negative","@VirginAmerica our flight into lga was Cancelled Flighted. We're stuck in Dallas. I called to reschedule, told I could get a flight for today...(1/2)"
"163",163,"negative","@virginamerica why don't any of the pairings include red wine?! Only white is offered :( #redwineisbetter"
"164",164,"negative","@VirginAmerica is the website down?"
"165",165,"negative","@VirginAmerica - Your site seems a little wonked right now. May want to have a look. Tried on two browsers. No CSS? http://t.co/8qsQMM7KF2"
"166",166,"negative","@VirginAmerica I'm disappointed that the agent at the designated silver status check in line @Dulles_Airport closed to assist all pasengers"
"167",167,"neutral","@VirginAmerica Plans to Include Austin to its Dallas Route - TopNews Arab #Emirates http://t.co/aqZWecOkk2"
"168",168,"negative","@VirginAmerica Is it normal to receive no reply from Central Baggage #baggageissues #smh"
"169",169,"negative","@VirginAmerica at Logan airport and waiting to checkin for my 9am flight. Checkin desk not open !!!!! Why?!"
"170",170,"neutral","@VirginAmerica to jump into the Dallas-Austin market - @Dallas_News http://t.co/EwwGi97gdx"
"171",171,"neutral","@VirginAmerica Beats EPS Views, Takes On #SouthwestAir VA LUV - Investor's Business Daily http://t.co/FLwmGDAHxu"
"172",172,"neutral","@VirginAmerica Lister to my show my on Monday 1230 130"
"173",173,"neutral","@VirginAmerica to begin Dallas-Austin #flights in April - 88.9 KETR http://t.co/SSUVWwkyHH"
"174",174,"negative","@VirginAmerica congrats, you just got all my business from EWR to SFO/LAX. Fuck you @united fl1289 SFO/EWR was the clincher..."
"175",175,"negative","@VirginAmerica  I applied over 2 weeks ago. Haven't heard back and I'm flying this week #disappointed"
"176",176,"neutral","@VirginAmerica I'd love to know what your policy is for damaged luggage."
"177",177,"positive","@VirginAmerica Thank you for the follow"
"178",178,"negative","@VirginAmerica - too many apologies! You r the worse airlines! Don't even respond to your cudtomers"
"179",179,"negative","@VirginAmerica shame on VA for making people spend money in stranded cities when other airlines are landing at JFK! Who will reimburse me?"
"180",180,"neutral","@VirginAmerica @TTINAC11 I DM you"
"181",181,"neutral","@VirginAmerica can you please have flights in  SJC ? I have no choice but to fly Southwest to Vegas 😩😭"
"182",182,"negative","@VirginAmerica too bad you say it takes 10 to 14 days via YOUR confirmation email. When I inquired after 3 weeks you claim 6 to 8 weeks!"
"183",183,"negative","@VirginAmerica Flight from BOS &gt; LAS tomorrow was Cancelled Flightled. No notification; wait times are 1+ hour. Will you rebook on another airline?"
"184",184,"positive","😎 RT @VirginAmerica: You’ve met your match. Got status on another airline? Upgrade (+restr): http://t.co/RHKaMx9VF5. http://t.co/PYalebgkJt"
"185",185,"positive","@VirginAmerica Only way to fly! #Elevate #Gold"
"186",186,"neutral","@VirginAmerica If only you guys had flights from CMH."
"187",187,"negative","@VirginAmerica a lot of ""apologies"" being thrown out to customers from what I can see.Very sad. Thanks for nothing. Worst airline ever."
"188",188,"negative","@VirginAmerica  for all my flight stuff wrong and did nothing about it. Had #worst #flight ever"
"189",189,"neutral","@VirginAmerica Having an issue finding a missing item on a plane. Can you help me find which airport my plane headed to next?"
"190",190,"positive","@VirginAmerica you will match my #AmericanAirlines status? Cool!"
"191",191,"neutral","“@VirginAmerica:You've met your match.Got status on another airline? Upgrade : http://t.co/H952rDKTqy” @asarco_ES_ar ? 🙉"
"192",192,"negative","@VirginAmerica trying to book a flight with you guys and your website won't let me... about to lose my business"
"193",193,"negative","@VirginAmerica you suck!"
"194",194,"positive","@VirginAmerica thanks!"
"195",195,"negative","@VirginAmerica Just DM'd. Same issue persisting."
"196",196,"negative","@VirginAmerica Because we never rec'd Cancelled Flightlation notice we were left w no options to fly out of PS. Driving to LA for a red eye Mon w kids"
"197",197,"negative","@VirginAmerica trying to book a flight &amp; your site is down 😁"
"198",198,"negative","@VirginAmerica You have any flights flying into Boston tomorrow? I need to be home and you Cancelled Flightled my flight and didn't do anything"
"199",199,"negative","@VirginAmerica you stink. Flight Cancelled Flighted from PSP to JFK and no notification or ability to rebook #disappointed.  #expected better"
"200",200,"positive","@VirginAmerica I love your guy's song! We're dancing to it for our high school dance revue"
"201",201,"negative","@VirginAmerica Your website is down and I'm trying to check in!"
"202",202,"positive","@VirginAmerica done! Thank you for the quick response, apparently faster than sitting on hold ;)"
"203",203,"neutral","@VirginAmerica nervous about my flight from DC to LAX getting Cancelled Flightled tomorrow! Just sent you a DM to help me!"
"204",204,"positive","@VirginAmerica cool picture of another VirginAmerica plane off our wing. What a site! http://t.co/5B2agFd8c4"
"205",205,"positive","@VirginAmerica Keep up the great work :)"
"206",206,"positive","@VirginAmerica my goodness your people @love field are amazing under pressure ❤️from Texas #beatstheothers in crisis Please fly me to NY"
"207",207,"positive","@VirginAmerica Thanks for a great flight from LA to Boston! Pilots did a great job landing in the snow. Can we go back to LA now? #seriously"
"208",208,"neutral","@VirginAmerica can you please get me to the new york area before monday afternoon"
"209",209,"positive","@VirginAmerica Thanks so much for the awesome support, you guys rock!"
"210",210,"negative","@VirginAmerica seats in Row 8 don't recline should mention that on your website #soreback"
"211",211,"negative","@VirginAmerica flight 404 delayed 2 hours in LA due to mechanical problems. Handle like pros but you could have tossed us a free drink."
"212",212,"negative","@VirginAmerica why Cancelled Flight flights today? No precipitation to be scared of!  ❄️❄️❄️"
"213",213,"positive","@VirginAmerica twitter team. you guys killed it for rescheduling me asap. thank you!"
"214",214,"negative","@VirginAmerica You guys charged me $100 to reschedule a flight that was then Cancelled Flighted and are now refusing to refund it. What's the deal?"
"215",215,"negative","@VirginAmerica can’t access your website from Safari on iPhone 6. Seems to work on Mac and iPad. Need iPhone to add Passbook."
"216",216,"neutral","@VirginAmerica on iPad and iPhone, clicking the CHECKIN link in the email I received at 24hrs before flight"
"217",217,"negative","@VirginAmerica your mobile site is broken, shows 
""{{header.elevateUser.numOfPointsAvailable || '0' | number}} Points"", won't let me checkin"
"218",218,"negative","@VirginAmerica I was really looking forward to my flight. can you let me know when it will be rescheduled? #diehardvirgin"
"219",219,"negative","@VirginAmerica why Cancelled Flight flight VX413? One sec its delayed, on my to airport, the next its Cancelled Flightled?Gonna email or call me to reschedule?"
"220",220,"negative","@VirginAmerica I did it but there was a problem in the link from the email for check-in. thanks"
"221",221,"negative","@VirginAmerica had to change to another airline to get to DC today ... Why is @united able to land in DC but not you? Cost me $800 ...ugh"
"222",222,"negative","@VirginAmerica I was so looking forward to my first flight with you today but it was Cancelled Flightled along with the subsequent one ..."
"223",223,"positive","@VirginAmerica when are you putting some great deals from PDX to LAS or from LAS to PDX show me your love! http://t.co/enIQg0buzj"
"224",224,"positive","@VirginAmerica wish I can afford to fly with you next Friday  going back home.. love everything  about your airline"
"225",225,"negative","@VirginAmerica  how are you gonna have a deal from Dallas to DC but no deal from DC to Dallas? #sad"
"226",226,"neutral","@VirginAmerica it’s just a bug report, guys"
"227",227,"negative","@VirginAmerica hold times at call center are a bit much"
"228",228,"positive","@VirginAmerica Like http://t.co/VPqEm31XUQ"
"229",229,"negative","@VirginAmerica Site down? #help"
"230",230,"positive","@VirginAmerica You have the best flight attendant ever!!! http://t.co/PxdEL1nq3l"
"231",231,"positive","Awesome! RT @VirginAmerica: Watch nominated films at 35,000 feet. #MeetTheFleet #Oscars http://t.co/DnStITRzWy"
"232",232,"positive","@VirginAmerica thanks so much!"
"233",233,"negative","@VirginAmerica Trying to reset my password, email never arrives. Help?"
"234",234,"positive","@VirginAmerica, the only airline based in Silicon Valley! #disruption #FCmostinnovative #incubator  @FastCompany's http://t.co/wU3LbCNcr9"
"235",235,"positive","@VirginAmerica Very nicely done. 👏"
"236",236,"positive","@VirginAmerica I’m looking forward to watching the Oscars on my flight home tomorrow. I might even get something bubbly to drink! ;)"
"237",237,"negative","@VirginAmerica What is the reason  for the delay of the departure of VX 413 from JFK this afternoon?"
"238",238,"negative","@VirginAmerica is todays flight from Palm Springs, Ca to JFK in NY Cancelled Flightled?"
"239",239,"positive","@VirginAmerica hahaha 😂@VirginAmerica YOU GUYS ARE AMAZING. I LOVE YOU GUYS!!!💗"
"240",240,"positive","@VirginAmerica sounds like fun !"
"241",241,"neutral","@VirginAmerica any updates on flight 413 from Jfk &gt; Lax"
"242",242,"neutral","@virginamerica spruce moose!"
"243",243,"negative","@VirginAmerica the CSS on your site is a 404 right now, please fix. Site unusable."
"244",244,"negative","@VirginAmerica We're on flight 910 Vegas to Boston today, checked in online but our bag count didn't register. Can I fix that somehow?"
"245",245,"positive","@VirginAmerica classiq, luv Virgin America. Greetingz"
"246",246,"negative","@VirginAmerica Hi, I'm trying to do check-in but the website is not working. I tried 3 different browsers and the problem continues"
"247",247,"positive","@VirginAmerica Thanks for your great customer service today &amp; for helping me get all my travel sorted out!"
"248",248,"positive","@VirginAmerica thanks guys! Sweet route over the Rockies #airplanemodewason"
"249",249,"positive","@VirginAmerica love the 90s music blasting at gate in #Boston while waiting for flight to #SanFrancisco. Only if I could get an iced coffee!"
"250",250,"negative","@VirginAmerica - the passenger in 7D, Flt 338 that assaulted me shouldn't have flown. I trust he's banned. Crew filed report to @FAANews"
"251",251,"negative","@VirginAmerica current bug on website shows ‘select departure city’ when selecting destination city http://t.co/SLLYIBE2vQ"
"252",252,"negative","@VirginAmerica luggage was severely dented/missing wheel coming off baggage claim in SAN. Luggage agent Miranda (I think) wasn't any help."
"253",253,"positive","@VirginAmerica thank you for the easy itinerary shift for impending weather. Quick, painless &amp; free."
"254",254,"neutral","@VirginAmerica If you'd love to see more girls be inspired to become pilots, RT our free WOAW event March 2-8 at ABQ. http://t.co/rfXlV1kGDh"
"255",255,"positive","@VirginAmerica Thanks! Good times there and back! #Vodkatonics the entire flight🍸#sfo"
"256",256,"neutral","@VirginAmerica beats expectations, shares take off - Santa Cruz Sentinel http://t.co/qm9dQbai6G"
"257",257,"neutral","@VirginAmerica any plans to start flying direct from DAL to LAS?"
"258",258,"neutral","@VirginAmerica BIG Love/gratitude.mpower w/ http://t.co/1AGR9knCpf weRin #OSCARS2105 VIPswagbags@ #AvalonHollywood http://t.co/ybMbGs0dHn"
"259",259,"positive","@VirginAmerica, you're doing a great job adding little luxuries/aesthetics that improve the air travel experience. Thank you. Keep it up!"
"260",260,"negative","@VirginAmerica requested window seat and confirmed window but got stuck in middle seat. Not a good way to treat silver member😒"
"261",261,"neutral","@VirginAmerica Grand Budapest Hotel #OscarsCountdown"
"262",262,"neutral","@VirginAmerica This is what you missed @NewsVP. Next trip to the 407."
"263",263,"negative","@VirginAmerica #wtf I paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience!"
"264",264,"negative","@VirginAmerica there is something wrong with you website in Safari iPhone"
